,AAPL,MSFT,GOOGL,NVDA,AMD,AMZN,TSLA,NKE,MCD,JPM,BAC,GS,BRK-B,JNJ,UNH,PFE,XOM,CVX,COP,BA,CAT,HON,META,NFLX,DIS,PG,KO,NEE,AMT,PLD
AAPL,1.0,0.6697248970577755,0.6083143651629268,0.5648370301602237,0.49581275865512725,0.589345888856805,0.46090107815801123,0.45999524766531,0.39497229723272953,0.42608288686363177,0.43667864209510626,0.4868061663217979,0.5135750621069148,0.3078860298496615,0.2896455431394762,0.293484608625719,0.2903027812603202,0.32871069067734376,0.30726430695022827,0.40939685027186484,0.38866802771245823,0.47051417494231385,0.5206809089886577,0.4228721984958445,0.43030832970037985,0.34978254537188735,0.3478990417128041,0.3256966399491306,0.3333573077872103,0.4950914910264871
MSFT,0.6697248970577755,1.0,0.6652386710864338,0.641302391176997,0.5150926163521463,0.6602966465276039,0.42504730862027224,0.4230240973483888,0.3900624765043151,0.41440049373582116,0.41264369133854184,0.4650263515768362,0.4736908654685316,0.2712616625762658,0.32324878245421196,0.2751206960022871,0.23350183730530366,0.3109175285730091,0.2806341254932113,0.3764488808085308,0.33957708510814516,0.44612098949280365,0.5788748974707589,0.47183555130533883,0.4389293953011327,0.3257006079644553,0.3161390623255098,0.3065389087001756,0.3556594198615778,0.4450863920832868
GOOGL,0.6083143651629268,0.6652386710864338,1.0,0.5598837604101966,0.4940872171527705,0.6390236506288537,0.400035871765871,0.39486796566393023,0.32812585432541785,0.40148961170434605,0.4010370312117327,0.45530143418038205,0.42917872320267847,0.23569526703079718,0.2780238992008156,0.23605001659024571,0.23557953650625865,0.28962217652752786,0.2735278795461522,0.3740126343242146,0.3831795306771184,0.41591490050201413,0.5850745341458067,0.4190670460812287,0.41869354615959364,0.25116052782041903,0.2693615623461725,0.26572954353453593,0.2598441324335643,0.4004900665193751
NVDA,0.5648370301602237,0.641302391176997,0.5598837604101966,1.0,0.669985634700249,0.5745870222173993,0.4474930178663168,0.3540598174920774,0.23932277566609048,0.3496991101501794,0.34052925739405443,0.43296850980535073,0.34202804592414954,0.09434320846003554,0.21411441127187708,0.14548006757899573,0.19071613312620114,0.24956464726755595,0.2484024921502609,0.34667226552917285,0.3750969991106824,0.3475149733925397,0.5147049622379,0.4482498750745196,0.36944310018814747,0.14755352274784678,0.13469578376114494,0.19913308666900373,0.19559470096169573,0.34433349116749756
AMD,0.49581275865512725,0.5150926163521463,0.4940872171527705,0.669985634700249,1.0,0.5146549194601245,0.4029977599474616,0.32320318470542186,0.20363284813245652,0.3019268983398279,0.30704961360789246,0.3841316849068548,0.3095014321064079,0.11299174449298634,0.19851841990861077,0.1549961169381168,0.17290293700338336,0.21823959905726492,0.20978181835771573,0.31501914948927595,0.35722051927032855,0.31629245661826255,0.42605960917501484,0.39014075538462084,0.33033116279775376,0.13804246003349604,0.12934012818306018,0.19480562533807502,0.17296981032901274,0.33141542151773823
AMZN,0.589345888856805,0.6602966465276039,0.6390236506288537,0.5745870222173993,0.5146549194601245,1.0,0.41955530613801906,0.3942963588272217,0.22673991955365821,0.3176644977406851,0.32968548084380694,0.3991996406374695,0.3561439807855574,0.14202288699101182,0.1970843737359918,0.18442610403835513,0.15586468001948164,0.187145417023594,0.19742258949786667,0.3197899222141628,0.3155899257463301,0.3224107201722428,0.6068889441195282,0.5211796919039431,0.4045013994462631,0.18753088789675992,0.1558120531398803,0.21589811916138701,0.22009213418669632,0.37772823936884325
TSLA,0.46090107815801123,0.42504730862027224,0.400035871765871,0.4474930178663168,0.4029977599474616,0.41955530613801906,1.0,0.27671847904152236,0.22568212296797788,0.2920116891964012,0.2941484365062886,0.34635427118757944,0.2646421041316486,0.06529503857774438,0.1542919873432861,0.09743706179745587,0.15054475859723498,0.20826096232497585,0.20537938707770007,0.3238537982135922,0.24921921791010204,0.27259001466744204,0.3360334266054936,0.33309279108750817,0.3096681133858942,0.09599590362808319,0.11831014949556033,0.17546851632538457,0.14765852271775534,0.2776170616032668
NKE,0.45999524766531,0.4230240973483888,0.39486796566393023,0.3540598174920774,0.32320318470542186,0.3942963588272217,0.27671847904152236,1.0,0.38723369561590526,0.40562666204421466,0.4086140134376953,0.42675752170528103,0.44529780718431167,0.24885838078967876,0.2208226173582845,0.2518965844037756,0.3066793474815939,0.328810618006791,0.3003281952308,0.38948007645438804,0.37441078088406377,0.4852614963112595,0.3466774851751794,0.27719191402250887,0.45941259707382404,0.3196956013641606,0.3337287520512249,0.3131324941973188,0.29945077094491795,0.4334397760238084
MCD,0.39497229723272953,0.3900624765043151,0.32812585432541785,0.23932277566609048,0.20363284813245652,0.22673991955365821,0.22568212296797788,0.38723369561590526,1.0,0.44661145605210095,0.4259654524248903,0.39942756169037896,0.5361301093405704,0.410671051331087,0.3531773987363491,0.2823750304001521,0.33232305536381573,0.40633930237039245,0.3409233456601555,0.4003074945741204,0.294342833948162,0.5226012885288138,0.2606844249869992,0.1840498782054438,0.3886822817544297,0.45994347442886585,0.5384722644097634,0.42538039984444326,0.4570760785233238,0.4546961637378403
JPM,0.42608288686363177,0.41440049373582116,0.40148961170434605,0.3496991101501794,0.3019268983398279,0.3176644977406851,0.2920116891964012,0.40562666204421466,0.44661145605210095,1.0,0.8789681347487716,0.8110158904076495,0.7260513485206107,0.33158001030327133,0.34112200348015165,0.318912904839148,0.5190146441976331,0.5754244117319767,0.5299441264571341,0.5501845752208704,0.6007586002242253,0.6353382436353743,0.3227711959911021,0.21825003950490462,0.5507552341559594,0.2996018973941176,0.42696602298473496,0.2901562002797466,0.29764721970600255,0.4557185490976727
BAC,0.43667864209510626,0.41264369133854184,0.4010370312117327,0.34052925739405443,0.30704961360789246,0.32968548084380694,0.2941484365062886,0.4086140134376953,0.4259654524248903,0.8789681347487716,1.0,0.8056515888637203,0.7024575942714021,0.31577814877017635,0.32982304708774385,0.30987589199622567,0.5418213863710389,0.5728574429166144,0.5457349988500216,0.5326105375278082,0.6066785041489433,0.6201169343448487,0.3293656069851794,0.2190327549569098,0.5529579936051529,0.3008072592925912,0.4048249699720789,0.28655014530879475,0.3045233031248381,0.46459145740666774
GS,0.4868061663217979,0.4650263515768362,0.45530143418038205,0.43296850980535073,0.3841316849068548,0.3991996406374695,0.34635427118757944,0.42675752170528103,0.39942756169037896,0.8110158904076495,0.8056515888637203,1.0,0.659315229174481,0.29401326046626997,0.3238141941808554,0.2859196637996277,0.4755147514993067,0.521946947290414,0.4912500044628463,0.5408441510438956,0.6218648442427618,0.6109682348800102,0.37418286422052355,0.2668289867392559,0.5500517458451315,0.25974400387107055,0.34400812763059146,0.27734041742932114,0.2783275978622721,0.4612742680846164
BRK-B,0.5135750621069148,0.4736908654685316,0.42917872320267847,0.34202804592414954,0.3095014321064079,0.3561439807855574,0.2646421041316486,0.44529780718431167,0.5361301093405704,0.7260513485206107,0.7024575942714021,0.659315229174481,1.0,0.4743769018155957,0.4169233139789124,0.40870808290581034,0.539223333295562,0.5820154311713671,0.5259255818669276,0.5078067634708333,0.5565384417064393,0.6539954605135239,0.33620793256186454,0.2648045328971167,0.5295740949441445,0.45404399991811417,0.5539419320675658,0.39921074744833285,0.39052673156294776,0.5028518301126748
JNJ,0.3078860298496615,0.2712616625762658,0.23569526703079718,0.09434320846003554,0.11299174449298634,0.14202288699101182,0.06529503857774438,0.24885838078967876,0.410671051331087,0.33158001030327133,0.31577814877017635,0.29401326046626997,0.4743769018155957,1.0,0.3465621276501936,0.49653281049409637,0.2729921883995226,0.31084750401747496,0.2352601963876915,0.23250051805202454,0.2772057379506471,0.4013437441880105,0.13213316334384412,0.12019374762521183,0.24742119726609665,0.527595105293571,0.5142609582972313,0.4017158489444946,0.43442338695302407,0.40464051136345935
UNH,0.2896455431394762,0.32324878245421196,0.2780238992008156,0.21411441127187708,0.19851841990861077,0.1970843737359918,0.1542919873432861,0.2208226173582845,0.3531773987363491,0.34112200348015165,0.32982304708774385,0.3238141941808554,0.4169233139789124,0.3465621276501936,1.0,0.2871722022952552,0.25897623122265917,0.32818099440105103,0.26779681538579114,0.2671442235002153,0.24947834290742804,0.3548052276886192,0.17179946713558625,0.14816258920256806,0.2371198808368005,0.3087346863376003,0.3146967182236941,0.2568533904910881,0.27853034567216134,0.31122336653271643
