,AAPL,MSFT,GOOGL,NVDA,AMD,AMZN,TSLA,NKE,MCD,JPM,BAC,GS,BRK-B,JNJ,UNH,PFE,XOM,CVX,COP,BA,CAT,HON,META,NFLX,DIS,PG,KO,NEE,AMT,PLD
AAPL,1.0,0.6229365273989311,0.5595689289938981,0.5841572789742182,0.4985028598645568,0.5869766749003243,0.3297685715149603,0.4815892538986993,0.1422444190265747,0.4587624924635966,0.43972569437111597,0.48036771001211986,0.5957281063302269,0.2607471946173404,0.21150828719341055,0.3037031339552583,0.4132060474404881,0.36895678550640665,0.3693050164580492,0.32075178658273984,0.5158925495348322,0.5299794966324256,0.4746644403894564,0.37729349343428714,0.3024019356672063,0.19337606895684048,0.16157382018431352,-0.018928709560819705,0.005748309626609306,0.26586688764929484
MSFT,0.6229365273989311,1.0,0.6389879022908284,0.5659616339996826,0.5385860305833828,0.716968179257007,0.2830371316487457,0.5357557423662095,0.3555063910096739,0.45413069852185156,0.4457706540298367,0.4664539987868081,0.5416994097252119,0.3128166157924677,0.29463365231132194,0.33026767496767173,0.40354317347470203,0.389442261527865,0.30493089626520214,0.3551584208643739,0.44485173670218836,0.5846107942708217,0.5308150302166057,0.4836050258776206,0.33532806170664176,0.3309613252936558,0.2673181999617607,0.1555796405269505,0.15044006710564828,0.3365141909520718
GOOGL,0.5595689289938981,0.6389879022908284,1.0,0.45661414946853823,0.42449479137498886,0.6227489701376943,0.24213409673487665,0.4281979612733893,0.16673482769655093,0.42451547756023567,0.39689333932116044,0.4232672529464769,0.4516223972193036,0.23077913408354503,0.29578019259605337,0.26907473273354776,0.39861967701535633,0.2895266167411026,0.2701441014102444,0.25160337472407696,0.3996582387206275,0.4273355861421464,0.5807269034764235,0.4494095900240559,0.3116461948109384,0.23028453286463837,0.2053383176828509,0.03628461303960576,0.028821518370889317,0.21756012987696244
NVDA,0.5841572789742182,0.5659616339996826,0.45661414946853823,1.0,0.6447887862383378,0.5670917398634052,0.32611453164646187,0.44186757527444676,0.12674257754974003,0.4765153246490969,0.4836476805602054,0.4836963474682698,0.5138139523467798,0.1908426340784258,0.21850829078796372,0.2824751730938825,0.4688362368982096,0.4646136046638598,0.4285743145350192,0.29267789074986067,0.5636131755532178,0.4842839891543698,0.44280901690705626,0.41707504710952714,0.20038807458015628,0.1598520665119288,0.10522480272336053,-0.042389486444965443,-0.07637200177612413,0.19638417853822956
AMD,0.4985028598645568,0.5385860305833828,0.42449479137498886,0.6447887862383378,1.0,0.5512243510099172,0.2705174836192203,0.41914214896654955,0.15733081920554812,0.37533475991105164,0.363835848541318,0.3507950172903578,0.47268195217848175,0.23769138037539292,0.17281664413939737,0.34294960322741846,0.38101914153139477,0.4165482033480158,0.302753689505504,0.2599362019285012,0.42067283426992325,0.406736083172709,0.3918455954597466,0.3894524162862855,0.21298210417270172,0.21113470053126626,0.14119915752641976,-0.007340509916178347,0.04848505458957629,0.234894815177002
AMZN,0.5869766749003243,0.716968179257007,0.6227489701376943,0.5670917398634052,0.5512243510099172,1.0,0.27413373481799413,0.4435146318194896,0.18171013416376336,0.429939629362598,0.3943821237395967,0.43087505255566727,0.4786038440763048,0.26013120213873697,0.22981579621111412,0.3146643436013258,0.3775222441008745,0.35371360579174693,0.32280992917949736,0.2817739961396278,0.46908384795537644,0.4602230884641827,0.6253116045975081,0.5316523230371715,0.25726319075053056,0.2494094397050675,0.18281129880552766,0.04785965989672961,0.09924197181791895,0.2539771439096826
TSLA,0.3297685715149603,0.2830371316487457,0.24213409673487665,0.32611453164646187,0.2705174836192203,0.27413373481799413,1.0,0.20113999315062359,-0.03841305699659607,0.21610429109945817,0.2725058948425639,0.26105238017740123,0.18558945992133535,0.047669369679623756,0.05398931213889618,0.10720574825705491,0.1846728077780892,0.14086314044682524,0.133347771861382,0.1973003471478928,0.23191060854221623,0.19524432118958002,0.22228658950793226,0.28992047857077624,0.058549331513560725,0.06380262454409032,0.0253997738303826,-0.013109196005307525,-0.07950986360826436,0.12927926592751282
NKE,0.4815892538986993,0.5357557423662095,0.4281979612733893,0.44186757527444676,0.41914214896654955,0.4435146318194896,0.20113999315062359,1.0,0.3339435565823779,0.5117166648116582,0.5025883046135378,0.4703607047214107,0.5260261694465815,0.2572073494034262,0.18190597679773934,0.20029417083942777,0.44878985180789777,0.3456408061156132,0.25209588114526094,0.27859479773146684,0.42975427192541077,0.552012634072922,0.26523940157197534,0.3438809861565117,0.3548177851078618,0.2977503530138304,0.22779295741757302,0.09207452907724047,0.11805559569725634,0.3206391059819095
MCD,0.1422444190265747,0.3555063910096739,0.16673482769655093,0.12674257754974003,0.15733081920554812,0.18171013416376336,-0.03841305699659607,0.3339435565823779,1.0,0.11931587273745718,0.07394929674778328,0.07766153630539428,0.23924044724856935,0.12310567757000482,0.07463248385649139,0.18557138490244648,0.06114284526011106,0.015130253807594177,-0.043162777896017364,0.025584593278364487,0.025673465020450925,0.32933198794771723,0.1180366106603339,0.09802405497457332,0.2808159874156219,0.32570686488865674,0.26203624462562586,0.30386729729652756,0.3671781996105496,0.30296467457791626
JPM,0.4587624924635966,0.45413069852185156,0.42451547756023567,0.4765153246490969,0.37533475991105164,0.429939629362598,0.21610429109945817,0.5117166648116582,0.11931587273745718,1.0,0.8580621030083992,0.7968047825993838,0.6843475676888622,0.20452784748463582,0.2236872585922588,0.26121319101225415,0.5565659498728375,0.4204642117078532,0.42053747776989936,0.31259030192506065,0.6002577792050701,0.5994298929040125,0.306939208646368,0.2688459632824892,0.4376905698146609,0.15278634677377165,0.14441825984399786,-0.14858398726389135,-0.17930564020023007,0.20432942053672468
BAC,0.43972569437111597,0.4457706540298367,0.39689333932116044,0.4836476805602054,0.363835848541318,0.3943821237395967,0.2725058948425639,0.5025883046135378,0.07394929674778328,0.8580621030083992,1.0,0.8603723349205362,0.6296701747903772,0.15023824666956184,0.25285299858406735,0.21591080333822707,0.524139960725995,0.4193535935620855,0.4247661384063328,0.328887651531434,0.5659674556722506,0.5503301734236902,0.27920936388838624,0.293112878123365,0.3172396149148146,0.08233439015487323,0.08420914552836951,-0.20494915911954525,-0.21143809549943937,0.15580149640666965
