,AAPL,MSFT,GOOGL,NVDA,AMD,AMZN,TSLA,NKE,MCD,JPM,BAC,GS,BRK-B,JNJ,UNH,PFE,XOM,CVX,COP,BA,CAT,HON,META,NFLX,DIS,PG,KO,NEE,AMT,PLD
AAPL,1.0,0.7389616706628707,0.7021430371017512,0.6701500728636153,0.6293271798768888,0.6243303846314552,0.579471397308874,0.5774286595793288,0.44849640749987907,0.4751974866331953,0.44874713240146247,0.4962058344859803,0.6108100401126134,0.2724680295954686,0.35321866280405,0.24655911508182662,0.2256171251452482,0.2466953808768898,0.21798207895058538,0.47272362089440667,0.34038257243890957,0.5201611888441601,0.5624480830289964,0.4597464028431041,0.5549426608787943,0.38293259566600596,0.4304961795126437,0.3817503954433568,0.41351967442372767,0.5113756345147802
MSFT,0.7389616706628707,1.0,0.72844950679823,0.7055402712667546,0.6588108740545107,0.6910989629977929,0.46472012840868276,0.5084787242668283,0.38651283930594754,0.38642379089214,0.3835663723740626,0.4462643327687047,0.5183086436798614,0.20140402710798216,0.3203950514342762,0.27429936565235363,0.11072584404478275,0.15395250237176947,0.14268971026737096,0.38396708551322967,0.26674052455748376,0.48887616886134483,0.5871321658514419,0.43614399548738114,0.5108263447508402,0.35253914173082734,0.3501821061015608,0.32614481379868054,0.3942966634706621,0.4483490323126652
GOOGL,0.7021430371017512,0.72844950679823,1.0,0.6413723088025218,0.6336588961383035,0.6826064430615187,0.4625203469135854,0.4844883775610338,0.31415701491988746,0.3901993284385304,0.386979242381106,0.44515610246996284,0.5203613149998038,0.18401067923432352,0.2166893120536026,0.21337002801633853,0.11398899082565823,0.17144141380069386,0.14805427796927387,0.4192034454319953,0.27006307269912705,0.4576990593513621,0.640648993713274,0.42952173087534656,0.49288029958401747,0.25823098153930907,0.2692409060915963,0.2756341040646691,0.3588008531491509,0.4250248885239343
NVDA,0.6701500728636153,0.7055402712667546,0.6413723088025218,1.0,0.8110979379741784,0.6108558463550963,0.5827655576350572,0.4950073689998381,0.3094542449876819,0.43554704107732234,0.41027171568629145,0.4717042864895983,0.4703684966140851,0.06999776710755971,0.18658934133636795,0.1591305435784099,0.1211507651133639,0.17141016584012878,0.16650598498775898,0.4917030029377676,0.34582698367940246,0.45370213517479663,0.5375581484213913,0.4687307357939499,0.51847965572543,0.18090588986717732,0.2196948982516872,0.241150725618398,0.32069461696572943,0.42450219442933523
AMD,0.6293271798768888,0.6588108740545107,0.6336588961383035,0.8110979379741784,1.0,0.6110136402256465,0.5324395304916729,0.4839305563877866,0.2939749997737162,0.40518727569143564,0.4114505703416005,0.4743041790246814,0.4616237235022234,0.08349653533929827,0.18461321155548005,0.1579057729006324,0.13632057889660965,0.1792762051597091,0.17694838916516945,0.47390819342144236,0.3225735675942673,0.45659675444268905,0.5193700194687523,0.44511414568709967,0.4733458034187135,0.19021691848290387,0.22906540186057628,0.2596375442684651,0.3263775352798086,0.4084790059395804
AMZN,0.6243303846314552,0.6910989629977929,0.6826064430615187,0.6108558463550963,0.6110136402256465,1.0,0.5038891732458605,0.5178836979734998,0.29262734914209226,0.3892391405340009,0.4170779252171037,0.47050747600479964,0.47613808197069957,0.14396054317382653,0.18560236384765993,0.19204581689753836,0.14315216799941874,0.1713011821329021,0.15582878394200192,0.41709221435049343,0.25679063137194674,0.42045981283311057,0.5957990899426452,0.5089480325576976,0.5633246102572687,0.20034429121742098,0.27415562206160715,0.29083806001121726,0.3651612839161445,0.451298100885052
TSLA,0.579471397308874,0.46472012840868276,0.4625203469135854,0.5827655576350572,0.5324395304916729,0.5038891732458605,1.0,0.3695586343723628,0.18650591323946614,0.33907665949373994,0.37374950334331136,0.35278976215044555,0.3428750489753353,0.06360726564992089,0.18230415043148554,0.09756296311175207,0.10893733960150244,0.1330921632475324,0.11310940186689054,0.3715427447175506,0.27365336447390115,0.3202396621727811,0.3705346956389749,0.4140178976723174,0.43488734222432385,0.10248548578997844,0.16218034279055615,0.22537209027768562,0.2730397703155227,0.3509917300930381
NKE,0.5774286595793288,0.5084787242668283,0.4844883775610338,0.4950073689998381,0.4839305563877866,0.5178836979734998,0.3695586343723628,1.0,0.3863827190459328,0.4688492501393333,0.4337422421422052,0.49197698374926835,0.5038421972058922,0.21074759246615066,0.18329182595571608,0.2202545266989184,0.22707866702930105,0.24976462792792997,0.21021896788115077,0.45644356267011127,0.41471535549930316,0.505551465723797,0.42204305340592024,0.3849275605317703,0.5279850135923302,0.35108965998033786,0.3868264798946796,0.3252243608541116,0.37342965889655755,0.4693522013457405
MCD,0.44849640749987907,0.38651283930594754,0.31415701491988746,0.3094542449876819,0.2939749997737162,0.29262734914209226,0.18650591323946614,0.3863827190459328,1.0,0.46196438166726406,0.39778746717626573,0.3805232615893041,0.498687480305399,0.4233764307782451,0.39325873142172213,0.2767186194832485,0.15327656764971095,0.15813551060021125,0.13809625248462631,0.350277149891105,0.28148881729619224,0.5084356457788495,0.20788069900483816,0.2120451689664603,0.30389697783483755,0.5616906877162158,0.6147968606521014,0.36483632666338844,0.4031916756773753,0.4369083377008235
JPM,0.4751974866331953,0.38642379089214,0.3901993284385304,0.43554704107732234,0.40518727569143564,0.3892391405340009,0.33907665949373994,0.4688492501393333,0.46196438166726406,1.0,0.8284341488220883,0.7363369533977837,0.6823897603115787,0.2907243768895552,0.32238365450437184,0.2835406394950959,0.304488717361687,0.33914442277691303,0.3170588371644317,0.4535080159390095,0.5078540434338324,0.5514770031265507,0.32931915929478334,0.2976014490246722,0.4816376641152407,0.315436261907528,0.37513205644211406,0.25420153608332846,0.3647422735449167,0.4359986881078672
