,AAPL,MSFT,GOOGL,NVDA,AMD,AMZN,TSLA,NKE,MCD,JPM,BAC,GS,BRK-B,JNJ,UNH,PFE,XOM,CVX,COP,BA,CAT,HON,META,NFLX,DIS,PG,KO,NEE,AMT,PLD
AAPL,1.0,0.9633946118836263,0.9624151479238614,0.9023632329759559,0.8749014157214119,0.8549471484301239,0.6232953956379155,0.8173507169946646,0.813590747213897,0.9095423727139226,0.9357629328151071,0.9098805996578753,0.9328740883342301,0.8191003324321283,0.8759134945318872,0.8739242577870547,0.8422950545286156,0.7411153321293721,0.7430561394605996,0.7089161286661472,0.8478156755158197,0.8326567650798085,0.9237829061207088,0.7571906080045706,0.8586077836303914,0.831077229073562,0.8368726512259378,0.8381519446288751,0.8565240624897222,0.8586751397624764
MSFT,0.9633946118836263,1.0,0.9712603500251161,0.942686253988262,0.8882436469412902,0.8864848804365685,0.6017319448012551,0.7985487091779816,0.8056498964066431,0.9312689879666104,0.9341738716545126,0.9131556844566809,0.9340979009879962,0.8141188140158153,0.88000012373208,0.870358603088249,0.8324788127274729,0.7597308119820221,0.7431948519289094,0.6903602659778625,0.822825260827879,0.7792701302955801,0.9600172481560548,0.8246756180229492,0.8263637581087905,0.8136830742204809,0.7881487487426239,0.833351699835832,0.8717570951279233,0.8833017102078865
GOOGL,0.9624151479238614,0.9712603500251161,1.0,0.9381959397932158,0.8737908764729301,0.8965155214647741,0.618371704795047,0.7957989556582272,0.8288905315387287,0.9024025954615313,0.9250142527849541,0.9114473180741499,0.9174646761738132,0.7910429663407849,0.8556066369092263,0.8639948667660234,0.8319789958738739,0.7488271750895309,0.774343444296245,0.7007055819694605,0.8602356735556085,0.8024412364768425,0.9737117654459062,0.8381429736390219,0.8559096854406425,0.785212633457375,0.7656857014310638,0.817234322418739,0.8213347745592041,0.8538693642145415
NVDA,0.9023632329759559,0.942686253988262,0.9381959397932158,1.0,0.9142999092447497,0.8442225866587616,0.7059863142227679,0.8240224284554188,0.8595770619433497,0.8783471299310306,0.8912556339751981,0.9015794339722288,0.9083701654980683,0.705193270832591,0.8716369631850127,0.7756689894858736,0.8583820507232904,0.7772319477884517,0.7933332827206243,0.740064027679853,0.791616467604738,0.7766996559920336,0.9423149545541167,0.8281370427816124,0.8204452151346966,0.7214063172671339,0.7275855020132772,0.8293109648011098,0.7857117733165698,0.8781284338830516
AMD,0.8749014157214119,0.8882436469412902,0.8737908764729301,0.9142999092447497,1.0,0.8632689605144925,0.6295873339487817,0.7174083313182347,0.7428870939338758,0.8528975578979945,0.8515589683985823,0.8735074102137623,0.8692796642891235,0.6393338848801414,0.8016289868181993,0.7343985097955184,0.8047438400320318,0.74096443325429,0.7557660797384662,0.6882893504243304,0.7486564116993749,0.7248729760668606,0.860435977456249,0.8369802665337228,0.8084748902940943,0.7343488772436704,0.7360824909097287,0.7865261866785609,0.7366337814948746,0.804068634590156
AMZN,0.8549471484301239,0.8864848804365685,0.8965155214647741,0.8442225866587616,0.8632689605144925,1.0,0.46482414429135865,0.6397833865197651,0.6156895886283559,0.7613508007218378,0.7841834117850851,0.7778726210755089,0.7817886940370681,0.6923722171236091,0.6671540604459866,0.8110063017942223,0.7163753467380384,0.5167962456147582,0.6096914583213889,0.5407293162188301,0.7862076882862546,0.5709716380024361,0.86395650272714,0.9257007772820878,0.7553413931433915,0.7692164865475382,0.6889571569296566,0.7154772183051691,0.6978232612154132,0.7410844052078397
TSLA,0.6232953956379155,0.6017319448012551,0.618371704795047,0.7059863142227679,0.6295873339487817,0.46482414429135865,1.0,0.6935853258020838,0.8239965514041289,0.6695372582208372,0.6100889336355181,0.7222331257875153,0.683172240920286,0.24840240201634892,0.6703453868703398,0.2762694944541688,0.8061106899130349,0.7799558790238296,0.8201737574827872,0.7057643664096286,0.5666810028535866,0.6669049575819537,0.6426167545837801,0.5403661374083484,0.6648303165062863,0.22211768024313194,0.4504399960390517,0.4977195114818739,0.44286022961159704,0.5193812957435325
NKE,0.8173507169946646,0.7985487091779816,0.7957989556582272,0.8240224284554188,0.7174083313182347,0.6397833865197651,0.6935853258020838,1.0,0.8867237112621997,0.8043206151248706,0.8361744762463678,0.816161746344339,0.8367378317743552,0.730205875400258,0.8634599548022759,0.7029977186332657,0.884709573210137,0.7529791946226595,0.7401329775647026,0.75674633712498,0.7863190725346568,0.8723340129051108,0.7851162461800528,0.5368207791743422,0.8024481001177589,0.6743191547971339,0.7936308810733622,0.8685137944221369,0.8199583344170194,0.7586972315609302
MCD,0.813590747213897,0.8056498964066431,0.8288905315387287,0.8595770619433497,0.7428870939338758,0.6156895886283559,0.8239965514041289,0.8867237112621997,1.0,0.818839183299541,0.8319148583350932,0.8563767419422477,0.8578800541915048,0.6196943054970319,0.827406457940773,0.586098790781746,0.8317812863075759,0.8443270251703819,0.8529611282843245,0.7034044683441644,0.7103127124793234,0.8449343050625165,0.8558301718017522,0.5787778447187332,0.8101307307502009,0.5621560623851847,0.6023312878407667,0.7394476917581764,0.707088665577001,0.7196731103778464
JPM,0.9095423727139226,0.9312689879666104,0.9024025954615313,0.8783471299310306,0.8528975578979945,0.7613508007218378,0.6695372582208372,0.8043206151248706,0.818839183299541,1.0,0.9629987905228564,0.9463825034457705,0.9425654207617972,0.74739565336873,0.8693990330439173,0.7655907744908292,0.8809112434542428,0.8824520052877475,0.8531558832732888,0.7538693677570992,0.8295558992145668,0.858795260860327,0.8787358296315776,0.6851019302725752,0.8392934015220868,0.7248230572696732,0.7639407249728581,0.7622399825401343,0.8489047416713191,0.8610339526610749
