Ticker,Confidence,GBM_VaR_threshold,GBM_ES_simulated,Realized_ES_holdout,Hist_ES_holdout,n_tail_obs,ES_Ratio_GBM_over_Realized,GBM_overstates_ES
AAPL,95%,0.02841,0.03571,0.03629,0.02908,6,0.9841,No
AAPL,99%,0.04034,0.04629,0.05127,0.04052,1,0.9028,No
AMZN,95%,0.03697,0.04637,0.05426,0.04158,6,0.8546,No
AMZN,99%,0.05232,0.05998,0.07173,0.06489,2,0.8362,No
GOOGL,95%,0.03158,0.03967,0.04431,0.03238,5,0.8951,No
GOOGL,99%,0.04479,0.05139,0.07537,0.0513,1,0.6819,No
MSFT,95%,0.0269,0.03384,0.04122,0.03491,8,0.8211,No
MSFT,99%,0.03825,0.04391,0.07805,0.06292,2,0.5626,No
TSLA,95%,0.06207,0.07783,0.09461,0.06395,4,0.8226,No
TSLA,99%,0.08782,0.10067,0.15385,0.10323,1,0.6543,No
