Ticker,CPIAUCSL,DGS10,UNRATE
AAPL,-0.2349,-0.2822,0.3714
MSFT,-0.1476,-0.2095,0.3619
GOOGL,0.0772,0.0164,0.2433
NVDA,0.0075,-0.009,0.1089
AMD,-0.1018,-0.0063,0.1157
AMZN,0.0555,0.0359,0.102
TSLA,-0.1412,-0.2004,0.3483
NKE,0.1945,0.0947,0.2527
MCD,-0.1566,-0.2397,0.5258
JPM,-0.1802,-0.3519,0.6101
BAC,-0.2335,-0.3813,0.6229
GS,-0.1447,-0.2806,0.5621
BRK-B,-0.2289,-0.2739,0.4736
JNJ,-0.1505,-0.1842,0.3924
UNH,0.1412,0.0331,0.3095
PFE,0.0441,-0.161,0.3595
XOM,-0.2456,-0.477,0.6577
CVX,-0.2257,-0.3673,0.6216
COP,-0.2825,-0.4459,0.6061
BA,-0.2243,-0.3949,0.6814
CAT,-0.1538,-0.2038,0.4644
HON,-0.1689,-0.3321,0.6262
META,0.0212,-0.0131,0.0907
NFLX,-0.1614,-0.1202,0.0534
DIS,-0.067,-0.2189,0.4504
PG,-0.1339,-0.1902,0.3718
KO,-0.2505,-0.3652,0.5993
NEE,0.1353,-0.0132,0.4361
AMT,0.0175,-0.1065,0.4705
PLD,-0.0052,-0.1047,0.4354
