Ticker,Sector,Obs,Ann_Return_pct,Ann_Vol_pct,Daily_Mean,Daily_Std,Skewness,Excess_Kurtosis,Min_Daily_Return_pct,Max_Daily_Return_pct
AAPL,Technology,1255,18.34,27.33,0.000728,0.017214,0.2466,5.9902,-9.701,14.262
MSFT,Technology,1255,11.11,26.35,0.000441,0.0166,-0.1229,3.9063,-10.528,9.652
GOOGL,Technology,1255,23.8,31.15,0.000944,0.019626,0.025,3.3445,-9.992,9.735
NVDA,Technology,1255,52.74,51.22,0.002093,0.032268,0.2503,3.86,-18.595,21.809
AMD,Technology,1255,36.1,54.59,0.001433,0.034386,0.3129,4.1274,-19.013,21.366
AMZN,Consumer Disc.,1255,9.95,35.42,0.000395,0.02231,-0.1004,4.9785,-15.14,12.695
TSLA,Consumer Disc.,1255,14.97,58.69,0.000594,0.036971,0.0254,2.6803,-16.755,20.449
NKE,Consumer Disc.,1255,-20.54,36.08,-0.000815,0.022727,-1.0779,16.3292,-22.29,14.437
MCD,Consumer Disc.,1255,6.23,17.23,0.000247,0.010851,-0.1804,2.352,-5.875,4.686
JPM,Financials,1255,15.14,24.36,0.000601,0.015347,-0.0467,4.6996,-7.779,10.925
BAC,Financials,1255,6.35,26.85,0.000252,0.016911,-0.1748,3.6762,-11.725,8.092
GS,Financials,1255,22.4,27.78,0.000889,0.0175,0.0697,4.9486,-9.664,12.308
BRK_B,Financials,1255,10.4,17.11,0.000413,0.010775,-0.1554,4.0141,-7.157,5.676
JNJ,Healthcare,1255,9.09,16.8,0.000361,0.010581,-0.0097,5.0375,-7.895,6.009
UNH,Healthcare,1255,0.59,32.67,2.3e-05,0.020578,-3.1318,36.8407,-25.334,11.314
PFE,Healthcare,1255,-3.49,25.39,-0.000138,0.015997,0.3912,2.6672,-6.954,10.305
XOM,Energy,1255,22.87,26.75,0.000908,0.016848,-0.3094,1.4685,-8.214,6.214
CVX,Energy,1255,16.06,25.17,0.000637,0.015855,-0.4778,3.1779,-8.582,8.529
COP,Energy,1255,18.92,32.83,0.000751,0.020679,-0.3758,2.9705,-10.788,10.171
BA,Industrials,1255,-1.62,36.46,-6.4e-05,0.022968,-0.1427,3.4978,-11.061,14.301
CAT,Industrials,1255,27.96,30.33,0.00111,0.019105,0.3073,3.5336,-9.031,11.006
HON,Industrials,1255,3.53,21.6,0.00014,0.013609,-0.1973,4.5895,-7.923,8.509
META,Comm. Services,1255,12.83,44.31,0.000509,0.027911,-1.1737,25.6027,-30.639,20.931
NFLX,Comm. Services,1255,11.37,44.56,0.000451,0.028072,-3.1259,51.3895,-43.258,14.889
DIS,Comm. Services,1255,-10.1,29.37,-0.000401,0.018503,-0.3287,7.7417,-14.114,11.238
PG,Consumer Staples,1255,3.48,17.69,0.000138,0.011144,-0.534,3.0461,-6.435,4.181
KO,Consumer Staples,1255,10.96,15.96,0.000435,0.010055,-0.2778,3.9361,-7.217,4.617
NEE,Utilities,1255,6.19,26.92,0.000246,0.016959,-0.5401,4.1536,-9.4,7.466
AMT,Real Estate,1255,-3.35,26.21,-0.000133,0.016513,0.0117,2.2342,-7.969,9.421
PLD,Real Estate,1255,7.09,26.93,0.000281,0.016967,-0.2138,3.5604,-10.058,9.007
