Ticker,Sector,Obs,Ann_Return_pct,Ann_Vol_pct,Daily_Mean,Daily_Std,Skewness,Excess_Kurtosis,Min_Return_pct,Max_Return_pct
AAPL,Technology,2088,23.29,30.12,0.000924,0.018972,-0.0914,6.628,-13.771,14.262
MSFT,Technology,2088,18.3,28.12,0.000726,0.017715,-0.2493,7.8538,-15.945,13.293
GOOGL,Technology,2088,22.61,30.49,0.000897,0.019207,-0.0783,4.3301,-12.368,9.735
NVDA,Technology,2088,42.42,50.1,0.001683,0.031562,-0.1699,5.0915,-20.771,21.809
AMD,Technology,2088,43.17,55.05,0.001713,0.034676,0.2395,3.9951,-19.013,21.366
AMZN,Consumer Discretionary,2088,13.46,33.77,0.000534,0.021274,-0.0793,4.5097,-15.14,12.695
TSLA,Consumer Discretionary,2088,36.87,62.02,0.001463,0.039069,-0.0341,3.9627,-23.652,20.449
NKE,Consumer Discretionary,2088,-5.13,33.91,-0.000203,0.021361,-0.7952,15.417,-22.29,14.437
MCD,Consumer Discretionary,2088,8.66,20.98,0.000344,0.013219,-0.2881,31.9607,-17.287,16.658
JPM,Financials,2088,15.33,28.47,0.000608,0.017933,-0.0651,13.6957,-16.211,16.562
BAC,Financials,2088,9.55,31.42,0.000379,0.019795,-0.0942,11.4044,-16.72,16.379
GS,Financials,2088,20.95,30.74,0.000831,0.019361,-0.0728,9.548,-13.588,16.195
BRK-B,Financials,2088,11.0,19.94,0.000436,0.012562,-0.2867,12.0537,-10.084,10.984
JNJ,Healthcare,2088,10.19,18.96,0.000404,0.011943,-0.3976,10.2545,-10.578,7.694
UNH,Healthcare,2088,7.41,32.49,0.000294,0.02047,-2.1319,28.6899,-25.334,12.044
PFE,Healthcare,2088,0.84,24.98,3.3e-05,0.015734,0.1435,4.0455,-8.05,10.305
XOM,Energy,2088,11.97,29.91,0.000475,0.018843,-0.2212,5.6212,-13.039,11.944
CVX,Energy,2088,9.43,31.02,0.000374,0.019538,-1.1071,27.0127,-25.006,20.49
COP,Energy,2088,9.95,39.19,0.000395,0.024688,-0.6532,16.5689,-28.555,22.485
BA,Industrials,2088,-5.61,44.39,-0.000222,0.027964,-0.3882,14.4621,-27.244,21.768
CAT,Industrials,2088,23.98,31.75,0.000952,0.019999,-0.173,4.8377,-15.411,11.006
HON,Industrials,2088,7.75,24.77,0.000307,0.015604,-0.176,10.6521,-12.882,14.036
META,Communication Services,2088,14.28,41.38,0.000567,0.026065,-1.1765,23.3424,-30.639,20.931
NFLX,Communication Services,2088,9.82,42.91,0.00039,0.02703,-2.1015,37.1032,-43.258,15.576
DIS,Communication Services,2088,0.5,30.51,2e-05,0.019218,0.0887,9.9725,-14.114,13.464
PG,Consumer Staples,2088,10.22,19.77,0.000406,0.012454,-0.052,10.4886,-9.143,11.341
KO,Consumer Staples,2088,9.96,19.09,0.000395,0.012025,-0.7845,10.004,-10.173,6.278
NEE,Utilities,2088,11.37,26.98,0.000451,0.016999,-0.4728,8.7197,-14.407,12.831
AMT,Real Estate,2088,6.23,27.28,0.000247,0.017182,-0.1135,8.1553,-16.445,11.531
PLD,Real Estate,2088,11.87,28.2,0.000471,0.017763,-0.6559,11.0474,-18.96,11.163
