Ticker,Confidence,mu_ann,sigma_ann,n_train,n_holdout,GBM_VaR,Hist_VaR_holdout,GBM_ES,Hist_ES_holdout,n_breaches,realized_breach_freq,theoretical_freq,TCR,excess_kurtosis
AAPL,95%,0.138,0.278,1051,251,0.02841,0.01974,0.03571,0.02908,6,0.0239,0.05,0.4781,6.2737
AAPL,99%,0.138,0.278,1051,251,0.04034,0.03396,0.04629,0.04052,1,0.00398,0.01,0.3984,6.2737
AMZN,95%,0.0902,0.3578,1051,251,0.03697,0.02588,0.04637,0.04158,6,0.0239,0.05,0.4781,5.2687
AMZN,99%,0.0902,0.3578,1051,251,0.05232,0.04827,0.05998,0.06489,2,0.00797,0.01,0.7968,5.2687
GOOGL,95%,0.134,0.3081,1051,251,0.03158,0.02341,0.03967,0.03238,5,0.01992,0.05,0.3984,3.355
GOOGL,99%,0.134,0.3081,1051,251,0.04479,0.03712,0.05139,0.0513,1,0.00398,0.01,0.3984,3.355
MSFT,95%,0.1661,0.2646,1051,251,0.0269,0.02289,0.03384,0.03491,8,0.03187,0.05,0.6375,4.1943
MSFT,99%,0.1661,0.2646,1051,251,0.03825,0.03112,0.04391,0.06292,2,0.00797,0.01,0.7968,4.1943
TSLA,95%,0.2143,0.6003,1051,251,0.06207,0.04371,0.07783,0.06395,4,0.01594,0.05,0.3187,2.8601
TSLA,99%,0.2143,0.6003,1051,251,0.08782,0.06953,0.10067,0.10323,1,0.00398,0.01,0.3984,2.8601
